,name,latitude,longtitude,locationid,hotelurl
32,陕西奥罗国际大酒店,34.26942624811519,108.9602793426115,504902.0,/Hotel_Review-g298557-d504902-Reviews-Aurum_International-Xi_an_Shaanxi.html
33,锦江之星品尚西安高新南二环西工大店,34.24344572954464,108.9185557861062,1232032.0,/Hotel_Review-g298557-d1232032-Reviews-Jinjiang_Inn_Xi_an_South_2nd_Ring_Hi_tech_Zone-Xi_an_Shaanxi.html
34,秦城小巷青年旅舍,34.271120514234404,108.93702409016379,4699746.0,/Hotel_Review-g298557-d4699746-Reviews-Alley_Youth_Hostel-Xi_an_Shaanxi.html
35,天朗森柏大酒店,34.244118222858994,108.87882970683775,3447472.0,/Hotel_Review-g298557-d3447472-Reviews-Titan_Central_Park_Hotel-Xi_an_Shaanxi.html
36,西安左艺术时尚精品酒店钟楼店,34.26228617694375,108.9551864514524,12309750.0,/Hotel_Review-g298557-d12309750-Reviews-Left_Art_Fashion_Boutique_Hotel_Xi_an_Zhonglou-Xi_an_Shaanxi.html
37,宜必思酒店西安高新店,0,0,1087765.0,/Hotel_Review-g298557-d1087765-Reviews-Ibis_Hotel_Xi_an_High_tech-Xi_an_Shaanxi.html
38,华美达兆瑞酒店,34.27168431612457,108.95397987918781,2031708.0,/Hotel_Review-g298557-d2031708-Reviews-Ramada_Xian_Bell_Tower-Xi_an_Shaanxi.html
39,西安中建馨乐庭高新服务公寓,34.24845717078074,108.88811241020197,14101251.0,/Hotel_Review-g298557-d14101251-Reviews-Citadines_Gaoxin_Xi_an-Xi_an_Shaanxi.html
40,空港大酒店,34.440636614448486,108.76686199414836,7700231.0,/Hotel_Review-g298557-d7700231-Reviews-Regal_Airport_Hotel_Xi_an-Xi_an_Shaanxi.html
41,全季西安高新路店,34.23231919172329,108.90811015270906,1407809.0,/Hotel_Review-g298557-d1407809-Reviews-Ji_Xian_Gaoxin_Road-Xi_an_Shaanxi.html
42,西安中兴和泰酒店,34.19128822150905,108.89112272591947,3970999.0,/Hotel_Review-g298557-d3970999-Reviews-ZTE_Hotel_Xi_an-Xi_an_Shaanxi.html
43,西安汉庭科技路店,34.23941702038535,108.90799215165373,1087754.0,/Hotel_Review-g298557-d1087754-Reviews-Hanting_Express_Xi_an_Keji_Road-Xi_an_Shaanxi.html
44,禹龙国际酒店,0,0,1586358.0,/Hotel_Review-g298557-d1586358-Reviews-Yulong_International_Hotel-Xi_an_Shaanxi.html
45,东方大酒店,34.24142502670081,108.94539908022561,487149.0,/Hotel_Review-g298557-d487149-Reviews-Orient_Hotel_Xi_an-Xi_an_Shaanxi.html
46,西安宾馆,34.244401243052415,108.95287249929827,308236.0,/Hotel_Review-g298557-d308236-Reviews-Xi_an_Motel-Xi_an_Shaanxi.html
47,Time Tunnel Designer Hotel,34.275827943848874,109.06618951587193,7927382.0,/Hotel_Review-g298557-d7927382-Reviews-Time_Tunnel_Designer_Hotel-Xi_an_Shaanxi.html
48,皇后大酒店,34.2662286377982,108.99487109149216,634858.0,/Hotel_Review-g298557-d634858-Reviews-Empress_Hotel-Xi_an_Shaanxi.html
